Date,Day,Month,Year,Quarter,Week,IsHoliday,IsBlackFriday
2024-10-01,1,10,2024,Q4,40,No,No
2024-10-02,2,10,2024,Q4,40,No,No
2024-10-03,3,10,2024,Q4,40,No,No
2024-10-04,4,10,2024,Q4,40,No,No
2024-10-05,5,10,2024,Q4,40,No,No
2024-10-06,6,10,2024,Q4,40,No,No
2024-10-07,7,10,2024,Q4,41,No,No
2024-10-08,8,10,2024,Q4,41,No,No
2024-10-09,9,10,2024,Q4,41,No,No
2024-10-10,10,10,2024,Q4,41,No,No
2024-10-11,11,10,2024,Q4,41,No,No
2024-10-12,12,10,2024,Q4,41,No,No
2024-10-13,13,10,2024,Q4,41,No,No
2024-10-14,14,10,2024,Q4,42,No,No
2024-10-15,15,10,2024,Q4,42,No,No
2024-10-16,16,10,2024,Q4,42,No,No
2024-10-17,17,10,2024,Q4,42,No,No
2024-10-18,18,10,2024,Q4,42,No,No
2024-10-19,19,10,2024,Q4,42,No,No
2024-10-20,20,10,2024,Q4,42,No,No
2024-10-21,21,10,2024,Q4,43,No,No
2024-10-22,22,10,2024,Q4,43,No,No
2024-10-23,23,10,2024,Q4,43,No,No
2024-10-24,24,10,2024,Q4,43,No,No
2024-10-25,25,10,2024,Q4,43,No,No
2024-10-26,26,10,2024,Q4,43,No,No
2024-10-27,27,10,2024,Q4,43,No,No
2024-10-28,28,10,2024,Q4,44,No,No
2024-10-29,29,10,2024,Q4,44,No,No
2024-10-30,30,10,2024,Q4,44,No,No
2024-10-31,31,10,2024,Q4,44,Yes,No
2024-11-01,1,11,2024,Q4,44,No,No
2024-11-02,2,11,2024,Q4,44,No,No
2024-11-03,3,11,2024,Q4,44,No,No
2024-11-04,4,11,2024,Q4,45,No,No
2024-11-05,5,11,2024,Q4,45,No,No
2024-11-06,6,11,2024,Q4,45,No,No
2024-11-07,7,11,2024,Q4,45,No,No
2024-11-08,8,11,2024,Q4,45,No,No
2024-11-09,9,11,2024,Q4,45,No,No
2024-11-10,10,11,2024,Q4,45,No,No
2024-11-11,11,11,2024,Q4,46,No,No
2024-11-12,12,11,2024,Q4,46,No,No
2024-11-13,13,11,2024,Q4,46,No,No
2024-11-14,14,11,2024,Q4,46,No,No
2024-11-15,15,11,2024,Q4,46,No,No
2024-11-16,16,11,2024,Q4,46,No,No
2024-11-17,17,11,2024,Q4,46,No,No
2024-11-18,18,11,2024,Q4,47,No,No
2024-11-19,19,11,2024,Q4,47,No,No
2024-11-20,20,11,2024,Q4,47,No,No
2024-11-21,21,11,2024,Q4,47,No,No
2024-11-22,22,11,2024,Q4,47,No,No
2024-11-23,23,11,2024,Q4,47,No,No
2024-11-24,24,11,2024,Q4,47,No,Yes
2024-11-25,25,11,2024,Q4,48,No,Yes
2024-11-26,26,11,2024,Q4,48,No,Yes
2024-11-27,27,11,2024,Q4,48,No,Yes
2024-11-28,28,11,2024,Q4,48,No,Yes
2024-11-29,29,11,2024,Q4,48,No,No
2024-11-30,30,11,2024,Q4,48,No,No
2024-12-01,1,12,2024,Q4,48,No,No
2024-12-02,2,12,2024,Q4,49,No,No
2024-12-03,3,12,2024,Q4,49,No,No
2024-12-04,4,12,2024,Q4,49,No,No
2024-12-05,5,12,2024,Q4,49,No,No
2024-12-06,6,12,2024,Q4,49,No,No
2024-12-07,7,12,2024,Q4,49,No,No
2024-12-08,8,12,2024,Q4,49,No,No
2024-12-09,9,12,2024,Q4,50,No,No
2024-12-10,10,12,2024,Q4,50,No,No
2024-12-11,11,12,2024,Q4,50,No,No
2024-12-12,12,12,2024,Q4,50,No,No
2024-12-13,13,12,2024,Q4,50,No,No
2024-12-14,14,12,2024,Q4,50,No,No
2024-12-15,15,12,2024,Q4,50,No,No
2024-12-16,16,12,2024,Q4,51,No,No
2024-12-17,17,12,2024,Q4,51,No,No
2024-12-18,18,12,2024,Q4,51,No,No
2024-12-19,19,12,2024,Q4,51,No,No
2024-12-20,20,12,2024,Q4,51,No,No
2024-12-21,21,12,2024,Q4,51,No,No
2024-12-22,22,12,2024,Q4,51,No,No
2024-12-23,23,12,2024,Q4,52,No,No
2024-12-24,24,12,2024,Q4,52,Yes,No
2024-12-25,25,12,2024,Q4,52,Yes,No
2024-12-26,26,12,2024,Q4,52,Yes,No
2024-12-27,27,12,2024,Q4,52,No,No
2024-12-28,28,12,2024,Q4,52,No,No
2024-12-29,29,12,2024,Q4,52,No,No
2024-12-30,30,12,2024,Q4,1,No,No
2024-12-31,31,12,2024,Q4,1,No,No
