ProductID,ProductName,Category,SupplierID,CostPrice,RetailPrice,IsPromoProduct
P0001,Max Protein Mix,Creatine,S009,16.47,36.37,Yes
P0002,Pro Whey Capsules,Weight Management,S002,11.53,23.18,Yes
P0003,Daily Creatine 1kg,Protein,S007,22.97,55.04,Yes
P0004,Pure Boost Pack,Protein,S003,8.39,14.32,Yes
P0005,Pro Vita Capsules,Weight Management,S006,6.98,13.55,No
P0006,Daily Burn 1kg,Creatine,S003,6.57,12.86,Yes
P0007,Active Omega Drink,Performance,S005,18.33,32.6,Yes
P0008,Fit Amino Capsules,Performance,S003,18.85,39.41,Yes
P0009,Pro Protein 500g,Amino Acids,S008,6.46,13.3,Yes
P0010,Active Vita Drink,Vitamins,S007,10.93,20.93,Yes
P0011,Pro Vita 1kg,Protein,S003,11.39,24.98,Yes
P0012,Ultra Boost Drink,Creatine,S003,14.37,23.81,Yes
P0013,Ultra Amino 1kg,Creatine,S003,16.35,37.28,No
P0014,Active Creatine 500g,Performance,S008,11.82,20.35,Yes
P0015,Fit Creatine 500g,Weight Management,S008,13.37,32.57,No
P0016,Pro Whey 1kg,Amino Acids,S004,24.54,53.31,Yes
P0017,Fit Burn Mix,Protein,S007,23.15,54.3,Yes
P0018,Fit Omega Capsules,Pre-workout,S007,13.18,20.99,Yes
P0019,Ultra Burn 1kg,Amino Acids,S008,18.41,37.88,Yes
P0020,Daily Protein 500g,Protein,S007,12.87,22.2,Yes
P0021,Pure Boost Pack,Creatine,S008,13.72,27.01,No
P0022,Max Creatine 1kg,Weight Management,S010,11.12,19.92,No
P0023,Fit Vita Drink,Creatine,S003,14.7,34.7,No
P0024,Daily Vita Mix,Vitamins,S006,17.14,30.57,Yes
P0025,Pro Creatine Mix,Weight Management,S009,11.28,22.05,Yes
P0026,Ultra Protein Pack,Creatine,S002,9.9,16.84,Yes
P0027,Pro Creatine Pack,Pre-workout,S004,15.77,25.03,Yes
P0028,Power Amino 1kg,Amino Acids,S006,15.19,28.29,Yes
P0029,Max Boost Mix,Creatine,S004,19.45,43.7,Yes
P0030,Power Protein Drink,Vitamins,S004,19.13,41.88,Yes
P0031,Ultra Whey Mix,Weight Management,S009,13.1,28.4,Yes
P0032,Pro Vita Drink,Vitamins,S009,12.46,25.83,Yes
P0033,Max Vita Drink,Protein,S009,12.19,23.71,Yes
P0034,Power Boost Drink,Amino Acids,S008,7.17,12.49,Yes
P0035,Daily Amino 500g,Weight Management,S005,24.46,42.33,Yes
P0036,Pure Vita Capsules,Pre-workout,S009,19.14,41.16,Yes
P0037,Daily Creatine Pack,Performance,S001,19.75,39.01,Yes
P0038,Ultra Whey 500g,Protein,S003,17.34,27.17,Yes
P0039,Fit Amino 1kg,Pre-workout,S001,7.38,12.54,Yes
P0040,Active Boost Capsules,Weight Management,S009,8.89,14.22,Yes
